58838.034337	 401563600.000	   0.003	8650
58838.034464	 401563550.000	   0.001	8650
58838.034568	 401563450.000	   0.003	8650
58838.034684	 401563300.000	   0.002	8650
58838.034811	 401563250.000	   0.003	8650
58838.034927	 401563100.000	   0.001	8650
58838.035031	 401563000.000	   0.009	8650
58838.035147	 401562800.000	   0.007	8650
58838.035263	 401562600.000	   0.008	8650
58838.035390	 401562350.000	   0.000	8650
58838.035494	 401562050.000	   0.018	8650
58838.035668	 401561500.000	   0.011	8650
58838.035853	 401560800.000	   0.004	8650
58838.035957	 401560200.000	   0.007	8650
58838.036073	 401559550.000	   0.005	8650
58838.036247	 401558350.000	   0.005	8650
58838.036362	 401557350.000	   0.014	8650
58838.036536	 401555700.000	   0.001	8650
58838.036651	 401554600.000	   0.001	8650
58838.036767	 401553500.000	   0.001	8650
58838.036999	 401551500.000	   0.002	8650
58838.037172	 401550150.000	   0.003	8650
58838.037334	 401549200.000	   0.001	8650
58838.037473	 401548500.000	   0.001	8650
58838.037635	 401547900.000	   0.025	8650
58838.037763	 401547550.000	   0.001	8650
58838.037867	 401547200.000	   0.031	8650
58838.037994	 401546950.000	   0.004	8650
58838.038110	 401546700.000	   0.003	8650
58838.038434	 401546200.000	   0.000	8650
