58838.034337	 401554000.000	   0.003	8650
58838.034568	 401553750.000	   0.001	8650
58838.034742	 401553650.000	   0.004	8650
58838.034915	 401553500.000	   0.015	8650
58838.035147	 401553200.000	   0.006	8650
58838.035321	 401552850.000	   0.017	8650
58838.035494	 401552450.000	   0.018	8650
58838.035679	 401551850.000	   0.003	8650
58838.035784	 401551400.000	   0.009	8650
58838.035911	 401550900.000	   0.003	8650
58838.036073	 401549900.000	   0.003	8650
58838.036188	 401549050.000	   0.001	8650
58838.036304	 401548250.000	   0.004	8650
58838.036420	 401547250.000	   0.013	8650
58838.036536	 401546150.000	   0.004	8650
58838.036651	 401544950.000	   0.002	8650
58838.036883	 401542850.000	   0.003	8650
58838.036999	 401541850.000	   0.003	8650
58838.037172	 401540600.000	   0.005	8650
58838.037288	 401539850.000	   0.004	8650
58838.037473	 401538950.000	   0.003	8650
58838.037577	 401538400.000	   0.005	8650
58838.037763	 401537800.000	   0.001	8650
58838.037925	 401537400.000	   0.011	8650
58838.038098	 401537050.000	   0.005	8650
58838.038260	 401536750.000	   0.003	8650
58838.038445	 401536650.000	   0.009	8650
