58845.706575	 401707950.000	   0.011	8650
58845.706902	 401707600.000	   0.015	8650
58845.707276	 401707050.000	   0.020	8650
58845.707627	 401706350.000	   0.022	8650
58845.707953	 401705250.000	   0.040	8650
58845.708655	 401701350.000	   0.013	8650
58845.709003	 401698750.000	   0.010	8650
58845.709354	 401696250.000	   0.063	8650
58845.709681	 401694350.000	   0.029	8650
58845.710053	 401692950.000	   0.146	8650
58845.710405	 401691950.000	   0.007	8650
58845.710758	 401691400.000	   0.031	8650
58845.711087	 401691050.000	   0.011	8650
58845.711416	 401690750.000	   0.009	8650
58845.711763	 401690600.000	   0.009	8650
58845.712489	 401690350.000	   0.010	8650
