58845.566879	 400696050.000	   0.008	8650
58845.567065	 400695950.000	   0.010	8650
58845.568094	 400694150.000	   0.008	8650
58845.568282	 400693450.000	   0.013	8650
58845.568446	 400692600.000	   0.010	8650
58845.568797	 400689350.000	   0.016	8650
58845.568982	 400688000.000	   0.011	8650
58845.569146	 400685950.000	   0.008	8650
58845.569307	 400684350.000	   0.063	8650
58845.569493	 400682950.000	   0.039	8650
58845.569657	 400681350.000	   0.015	8650
58845.569843	 400680500.000	   0.037	8650
58845.570356	 400679200.000	   0.018	8650
58845.570872	 400678400.000	   0.010	8650
